Countries and regions,Doses administered,Enough for % of people,Percentage of population with 1+ dose,Percentage of population fully vaccinated,Daily rate of doses administered
Sao Tome and Principe,50886,11.9,18.3,5.6,907
Turks & Caicos,50875,66.9,70,63.9,84
Monaco,48691,62.4,67,57.8,270
Sint Maarten,48514,57.8,60.4,55.1,67
San Marino,46573,68.5,70.5,70.6,2
Saint Kitts and Nevis,46372,40.7,42.9,38.4,41
Haiti,46201,0.2,0.3,0.1,1479
Grenada,45460,20.9,23.9,17.8,425
Dominica,42837,30.2,31.8,28.6,103
Guinea-Bissau,31090,0.9,1.6,0.2,44
St. Vincent and the Grenadines,30958,14.1,17.3,10.8,305
Anguilla,18471,61.6,63.3,59.9,1
St. Helena,7892,65.8,72.7,58.9,8
Falkland Islands,4407,73.5,87.7,59.2,202
